你用小提琴砸向狛克，造成了,點傷害。,1,100
你拿起球棒砸向狛克，造成了,點傷害。,1,70
你用冰椎刺向狛克，造成了,點傷害。,1,100
你用用巨大的木槌槌向狛克，造成了,點傷害。,1,100
你用小提琴砸向狛克，然而狛克比較耐打，只造成了,點傷害。,1,40
你用非洲人的怨念燃燒狛克，造成了,點真實傷害。,50,150
你用沖天炮轟炸狛克，造成了,點傷害。,1,100
你用飛矛射向狛克，造成了,點傷害。,10,120
你用骨頭丟向狛克，傷害相當顯著，造成了,點傷害。,70,140
你用拳頭揍向狛克，造成了,點傷害。,1,80
你拿willisome的東西丟向狛克，狛克果斷的撲接了，並往旁邊一甩。,很遺憾的，完全沒有傷害。,0,0
你用長長的木棒貫穿了狛克，造成了,點傷害。,50,100
你召喚洪水襲向狛克，造成了,點傷害。非常遺憾，北極狼還是會游泳的。,1,10
你用身高鄙視狛克，造成了,點真實傷害。,80,180
你用肚肚壓住狛克，造成了...,不，狛克看起來非常享受，傷害被免疫掉了。,0,0
你召雷劈向狛克，造成了,點傷害。,1,140
你抄起一把扇子直擊狛克面門，造成了,點傷害。,1,60
你抽刀斬向狛克，造成了,點傷害。,30,110
你用巧克力丟向狛克，狛克瞬間接住並吃掉了。狛克回復了,點血量。,-100,-1
你撲抱狛克，造成了,點驚嚇傷害，並且狛克順手回抱了你。,1,5
你用腳踹向風助，精準命中要害，造成了不可言喻的傷害。,a,150,300
你從後面接近狛克並突然抓住尾巴，造成了,點傷害。似乎是被嚇到的關係，你聽到狛克發出悶哼聲。,1,20
你用拉麵丟向狛克，狛克避開了碗吃完了拉麵，不只沒造成傷害，甚至回復了,點血量。,-100,-1
你用板凳砸向狛克，造成了,點傷害。,100,150
你在狛克的晚餐裡偷偷放了辣椒，吃下去的狛克受到了,點傷害。,40,100
你在狛克耳朵旁邊突然吹氣，造成了,點驚嚇傷害。狛克瞬間跳起來遠離你五公尺，看來嚇得不輕。,1,100
你隨便拿個什麼就砸向狛克，丟出去的冷凍牛排傷害顯著，造成了,點傷害。,150,200
你隨便拿個什麼就砸向狛克，丟出去的布偶傷害薄弱，對狛克造成了,點傷害。,1,5
你隨便拿個什麼就砸向狛克，丟出去的麻將對狛克造成了,點傷害。,1,100
你在狛克面前胡出了國士無雙，造成了,點真實傷害。,80,120
你把黑糖珍奶丟給狛克，狛克感激地接住並且開始狂喝，回復了,點血量。,-150,-50
你拉開狛克的衣領把冰塊丟進去，造成了,點傷害，然後抗寒的雪狼狛克淡定的拿出來了。,1,10
你把有很多獸太的「教學影片」傳送給狛克，上課不小心打開聊天室的狛克紅著臉衝出教室，造成了,點波蘭真實傷害。,20,30
你用字典砸向狛克，造成了,點傷害。,1,100
你用鑽石劍刺向狛克，狛克舉盾防禦，只造成了,點傷害。,1,20
你掏出一把PKM對狛克掃射，造成了,點傷害。,100,200
你掏出一把PKM對狛克掃射，造成了,點傷害。,100,200
你掏出一把PKM對狛克掃射，造成了...,狛克的偶爾防彈特性觸發了，沒有造成傷害。,0,0
你在狛克耳邊輕聲說道「TEmPTaTiON」，狛克的手臂不自覺的開始痠痛，造成了,點傷害。,1,100
你Lost River了狛克，造成了,點真實傷害。,100,180
